"","Materia","ProbCert1a","NumMaxIntentosNuncaCert","IntentosPromNuncaCert","MedianaIntentosNuncaCert","ProbNoCertNunca","NumMaxIntentosSiCert","IntentosPromedioSiCert","MedianaIntentosSiCert"
"44","DERECHO FISCAL","0.451612903225806","3","1.53333333333333","1","0.241935483870968","3","1.31578947368421","1"
"45","DERECHO INDIGENA","0.5","3","1.38461538461538","1","0.295454545454545","1","1","1"
"46","DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS","0.785714285714286","1","1","1","0.142857142857143","1","1","1"
"47","DERECHO INTERNACIONAL PRIVADO","0.558441558441558","2","1.26086956521739","1","0.298701298701299","2","1.18181818181818","1"
"48","DERECHO INTERNACIONAL PUBLICO","0.428571428571429","3","1.23076923076923","1","0.232142857142857","3","1.52631578947368","1"
"49","DERECHO LABORAL","0.75609756097561","2","1.25","1","0.195121951219512","1","1","1"
"50","DERECHO MERCANTIL","0.904761904761905","1","1","1","0.0476190476190476","1","1","1"
"51","DERECHOS HUMANOS","0.384615384615385","1","1","1","0.538461538461538","1","1","1"
"52","0","0","0","0","0","0","0","0","0"
"53","0","0","0","0","0","0","0","0","0"
"54","0","0","0","0","0","0","0","0","0"
"55","0","0","0","0","0","0","0","0","0"
"56","0","0","0","0","0","0","0","0","0"
"57","0","0","0","0","0","0","0","0","0"
"58","ELEMENTOS BASICOS DEL DERECHO","0.65625","2","1.1","1","0.3125","1","1","1"
"59","0","0","0","0","0","0","0","0","0"
"60","ESCRITURA CREATIVA I","0.6","2","1.5","1.5","0.4","-Inf","NaN",NA
"61","ESCRITURA CREATIVA II","0.25","1","1","1","0.75","-Inf","NaN",NA
"62","ESCRITURA CREATIVA III","0.5","1","1","1","0.5","-Inf","NaN",NA
"63","ESTADO PARTIDOS Y SOCIEDAD CIVIL. APORTES TEORICOS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"64","ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO","0.666666666666667","-Inf","NaN",NA,"0","1","1","1"
"65","ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO (SIGLO XX)","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"66","0","0","0","0","0","0","0","0","0"
"67","ESTUDIOS SOCIALES E HISTORICOS I","0.555555555555556","2","1.25","1","0.222222222222222","2","1.5","1.5"
"68","ESTUDIOS SOCIALES E HISTORICOS II","0.642857142857143","1","1","1","0.214285714285714","2","1.5","1.5"
"69","ESTUDIOS SOCIALES E HISTORICOS III","0.354838709677419","2","1.15384615384615","1","0.419354838709677","3","1.42857142857143","1"
"70","0","0","0","0","0","0","0","0","0"
"71","0","0","0","0","0","0","0","0","0"
"72","FILOSOFIA DEL DERECHO","0.666666666666667","4","1.5","1","0.274509803921569","2","1.33333333333333","1"
"73","0","0","0","0","0","0","0","0","0"
"74","0","0","0","0","0","0","0","0","0"
"75","0","0","0","0","0","0","0","0","0"
"76","0","0","0","0","0","0","0","0","0"
"77","FINANZAS PUBLICAS Y PRESUPUESTACION","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"78","0","0","0","0","0","0","0","0","0"
"79","FORMAS DE GOBIERNO Y SISTEMAS ELECTORALES EN AMERICA LATINA","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"80","0","0","0","0","0","0","0","0","0"
"81","FRANCES III","0","2","2","2","1","-Inf","NaN",NA
"82","FUNDAMENTOS CONSTITUCIONALES DEL ESTADO MEXICANO","0.428571428571429","1","1","1","0.571428571428571","-Inf","NaN",NA
"83","0","0","0","0","0","0","0","0","0"
"84","GLOBALIZACION CONCENTRACION Y EL NUEVO ORDEN INTERNACIONAL","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"85","0","0","0","0","0","0","0","0","0"
"86","GOBIERNO Y PODER EN LOS CENTROS URBANOS. EXPERIENCIAS COMPARADAS","0.5","1","1","1","0.5","-Inf","NaN",NA
"87","0","0","0","0","0","0","0","0","0"
"88","0","0","0","0","0","0","0","0","0"
"89","HISTORIA DE LAS IDEAS POLITICAS","0.5","1","1","1","0.5","-Inf","NaN",NA
"90","0","0","0","0","0","0","0","0","0"
"91","HISTORIA DEL DERECHO","0.55","3","1.33333333333333","1","0.3","2","1.5","1.5"
"92","0","0","0","0","0","0","0","0","0"
"93","IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL","0.5","2","2","2","0.25","1","1","1"
"94","0","0","0","0","0","0","0","0","0"
"95","IMPACTO DE LA GLOBALIZACION EN LOS CENTROS URBANOS. EXPERIENCIAS COMPARADAS","0.5","-Inf","NaN",NA,"0","1","1","1"
"96","IMPACTO EN LA GLOBALIZACION EN LOS CENTROS URBANOS ANALISIS COMPARATIVOS","0.5","-Inf","NaN",NA,"0","1","1","1"
"97","0","0","0","0","0","0","0","0","0"
"98","INGLES I","0.277777777777778","2","1.125","1","0.444444444444444","3","1.8","2"
"99","INGLES II","0.423076923076923","2","1.2","1","0.384615384615385","3","1.4","1"
"100","INGLES III","0.7","1","1","1","0.05","2","1.6","2"
"101","0","0","0","0","0","0","0","0","0"
"102","INTERNACIONALIZACION Y GLOBALIZACION. APORTES TEORICOS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"103","0","0","0","0","0","0","0","0","0"
"104","LECTURA DE TEXTOS EN INGLES I","0.777777777777778","-Inf","NaN",NA,"0","2","1.5","1.5"
"105","LECTURA DE TEXTOS EN INGLES II","0.583333333333333","3","1.66666666666667","1","0.25","2","1.25","1"
"106","LECTURA DE TEXTOS EN INGLES III","0.68","2","1.33333333333333","1","0.12","1","1","1"
"107","LEGALIDAD SOCIAL DEL DERECHO","0.75","1","1","1","0.1875","1","1","1"
"108","LENGUAJE Y PENSAMIENTO I","0.347826086956522","4","1.58333333333333","1","0.521739130434783","3","2.33333333333333","3"
"109","LENGUAJE Y PENSAMIENTO II","0.333333333333333","4","1.375","1","0.380952380952381","4","1.83333333333333","1"
"110","LENGUAJE Y PENSAMIENTO III","0.432432432432432","5","1.38461538461538","1","0.351351351351351","5","1.75","1"
"111","LOS GRANDES PROBLEMAS DE LA ADMINISTRACION EN LAS CIUDADES. EXPERIENCIAS COMPARADAS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"112","MARCO JURIDICO DE LA ADMINISTRACION PUBLICA","0.666666666666667","1","1","1","0.333333333333333","-Inf","NaN",NA
"113","0","0","0","0","0","0","0","0","0"
"114","0","0","0","0","0","0","0","0","0"
"115","0","0","0","0","0","0","0","0","0"
"116","0","0","0","0","0","0","0","0","0"
"117","0","0","0","0","0","0","0","0","0"
"118","METODOS Y TECNICAS DE INVESTIGACION","0.6875","2","1.11111111111111","1","0.28125","1","1","1"
"119","MEXICO Y AMERICA LATINA EN EL CONTEXTO INTERNACIONAL","0.666666666666667","1","1","1","0.333333333333333","-Inf","NaN",NA
"120","MEXICO Y AMERICA LATINA EN EL CONTEXTO INTERNACIONAL DEL SIGLO XX","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"121","0","0","0","0","0","0","0","0","0"
"122","0","0","0","0","0","0","0","0","0"
"123","NIVELES DE GOBIERNO","0.8","2","2","2","0.2","-Inf","NaN",NA
"124","NOCIONES DE DERECHO CONSTITUCIONAL Y DERECHO ADMINISTRATIVO","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"125","OBLIGACIONES","0.627906976744186","3","1.25","1","0.186046511627907","2","1.25","1"
"126","ORGANIZACION Y AGENTES SOCIALES","0.6","-Inf","NaN",NA,"0","1","1","1"
"127","PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO","0.75","-Inf","NaN",NA,"0","4","4","4"
"128","PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO SIGLO XX","0.5","1","1","1","0.5","-Inf","NaN",NA
"129","PENSAMIENTO CRITICO Y ARGUMENTACION","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"130","PERIODISMO ESCRITO: GENEROS INFORMATIVOS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"131","0","0","0","0","0","0","0","0","0"
"132","PERSONA Y FAMILIA","0.558139534883721","2","1.14285714285714","1","0.325581395348837","2","1.2","1"
"133","PLANEACION CON PARTICIPACION EN LA CIUDAD DE MEXICO","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"134","POLITICA DE VIVIENDA EN MEXICO","0.5","1","1","1","0.5","-Inf","NaN",NA
"135","0","0","0","0","0","0","0","0","0"
"136","0","0","0","0","0","0","0","0","0"
"137","PROBLEMAS CONTEMPORANEOS DE ETICA","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"138","PROBLEMAS JURIDICOS CONTEMPORANEOS","0.857142857142857","1","1","1","0.142857142857143","-Inf","NaN",NA
"139","0","0","0","0","0","0","0","0","0"
"140","PROCESOS EN PARTICULAR","0.794871794871795","1","1","1","0.0769230769230769","2","1.4","1"
"141","PROCESOS SOCIOHISTORICOS I","0.6","-Inf","NaN",NA,"0","2","1.5","1.5"
"142","PROCESOS SOCIOHISTORICOS II","0.5","1","1","1","0.5","-Inf","NaN",NA
"143","PROCESOS SOCIOHISTORICOS III","0.666666666666667","1","1","1","0.333333333333333","-Inf","NaN",NA
"144","0","0","0","0","0","0","0","0","0"
"145","0","0","0","0","0","0","0","0","0"
"146","REGIMEN DE COMERCIO EXTERIOR","0.791666666666667","2","1.16666666666667","1","0.125","1","1","1"
"147","REGIMEN JURIDICO DEL DISTRITO FEDERAL","0.435897435897436","3","1.29411764705882","1","0.435897435897436","1","1","1"
"148","SEMINARIO DE INVESTIGACION I","0.166666666666667","-Inf","NaN",NA,"0","6","3.6","2"
"149","SEMINARIO DE INVESTIGACION II","0.5","-Inf","NaN",NA,"0","5","3.5","3.5"
"150","SEMINARIO DE TESIS","0.666666666666667","1","1","1","0.196969696969697","2","1.22222222222222","1"
"151","SEMINARIO DE TESIS I: PROYECTO DE INVESTIGACION","0.5","1","1","1","0.5","-Inf","NaN",NA
"152","0","0","0","0","0","0","0","0","0"
"153","SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS","0.489795918367347","2","1.0952380952381","1","0.428571428571429","3","1.75","1.5"
"154","SISTEMA POLITICO MEXICANO; DIVISION O CONCENTRACION DE PODERES","0.666666666666667","1","1","1","0.166666666666667","2","2","2"
"155","0","0","0","0","0","0","0","0","0"
"156","SOCIOLOGIA JURIDICA","0.514285714285714","2","1.64285714285714","2","0.4","2","1.33333333333333","1"
"157","0","0","0","0","0","0","0","0","0"
"158","0","0","0","0","0","0","0","0","0"
"159","TALLER DE ANALISIS POLITICO I","0.5","3","2","2","0.5","-Inf","NaN",NA
"160","TALLER DE ANALISIS POLITICO II","0.5","1","1","1","0.5","-Inf","NaN",NA
"161","0","0","0","0","0","0","0","0","0"
"162","0","0","0","0","0","0","0","0","0"
"163","TEORIA DE LA NORMA PENAL","0.456521739130435","2","1.3125","1","0.347826086956522","2","1.22222222222222","1"
"164","TEORIA DE LA ORGANIZACION EN EL CONTEXTO GLOBAL","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"165","TEORIA DEL ESTADO","0.527777777777778","1","1","1","0.277777777777778","2","1.28571428571429","1"
"166","TEORIA GENERAL DE LOS DERECHOS HUMANOS","0.527272727272727","2","1.09090909090909","1","0.4","1","1","1"
"167","TEORIA GENERAL DEL PROCESO","0.52","2","1.33333333333333","1","0.36","1","1","1"
"168","TEORIA POLITICA I","0.4","1","1","1","0.4","1","1","1"
"169","TEORIA POLITICA II","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"170","TEORIA POLITICA III","0.666666666666667","1","1","1","0.166666666666667","4","4","4"
"171","TEORIA POLITICA MODERNA","0.75","1","1","1","0.25","-Inf","NaN",NA
"172","TEORIA Y SOCIOLOGIA DEL CONOCIMIENTO","0.25","2","1.5","1.5","0.5","1","1","1"
