"","GEN","Matrícula","Nombre_Carrera","Nombre_Plantel","Turno","Situacion","Materia","Tema_Especifico","Calificacion","Periodo_Certificacion"
"29","01","01-000-0257","Derecho","CH","V","ACTIVO","ESCRITURA CREATIVA II","ESCRITURA CREATIVA II","NC",1-02-03
"30","01","01-000-0257","Derecho","CH","V","ACTIVO","LENGUA EXTRANJERA I","INGLES I","NC",1-02-04
"31","01","01-000-0257","Derecho","CH","V","ACTIVO","FISICA I","FISICA I","NC",1-07-02
"32","01","01-000-0257","Derecho","CH","V","ACTIVO","LENGUA EXTRANJERA I","INGLES I","NC",1-07-02
"33","01","01-000-0257","Derecho","CH","V","ACTIVO","ALGEBRA Y GEOMETRIA ANALITICA (INGENIERIA)","ALGEBRA Y GEOMETRIA ANALITICA (INGENIERIA)","NC",1-07-02
"34","01","01-000-0257","Derecho","CH","V","ACTIVO","CALCULO DIFERENCIAL E INTEGRAL","CALCULO DIFERENCIAL E INTEGRAL","NC",1-07-02
"35","01","01-000-0257","Derecho","CH","V","ACTIVO","CALCULO DIFERENCIAL E INTEGRAL","CALCULO DIFERENCIAL E INTEGRAL","NC",1-07-02
"36","01","01-000-0257","Derecho","CH","V","ACTIVO","MATEMATICAS I","MATEMATICAS I","NC",1-07-02
"37","01","01-000-0257","Derecho","CH","V","ACTIVO","INFORMATICA I","INFORMATICA I","NC",1-07-02
"38","01","01-000-0257","Derecho","DV","V","ACTIVO","NIVELES DE GOBIERNO","NIVELES DE GOBIERNO","NC",1-07-13
"39","01","01-000-0257","Derecho","SLT","V","ACTIVO","SEMINARIO DE INVESTIGACION I","SEMINARIO DE INVESTIGACION I","NC",1-07-13
"40","01","01-000-0257","Derecho","DV","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA I","CULTURA CIENTIFICA Y HUMANISTICA I","C",1-06-09
"41","01","01-000-0257","Derecho","DV","V","ACTIVO","LENGUAJE Y PENSAMIENTO III","LENGUAJE Y PENSAMIENTO III","C",1-06-09
"42","01","01-000-0257","Derecho","DV","V","ACTIVO","TEORIA POLITICA III","TEORIA POLITICA III","C",1-06-09
"43","01","01-000-0257","Derecho","DV","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS III","ESTUDIOS SOCIALES E HISTORICOS III","C",1-06-09
"44","01","01-000-0257","Derecho","DV","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA III","CULTURA CIENTIFICA Y HUMANISTICA III","C",1-06-09
"45","01","01-000-0257","Derecho","DV","V","ACTIVO","TEORIA POLITICA I","TEORIA POLITICA I","C",1-06-09
"46","01","01-000-0257","Derecho","DV","V","ACTIVO","LENGUAJE Y PENSAMIENTO II","LENGUAJE Y PENSAMIENTO II","C",1-06-09
"47","01","01-000-0257","Derecho","DV","V","ACTIVO","ORGANIZACION Y AGENTES SOCIALES","ORGANIZACION Y AGENTES SOCIALES","C",1-06-10
"48","01","01-000-0257","Derecho","DV","V","ACTIVO","ANALISIS POLITICO CON METODOS CUALITATIVOS","ANALISIS POLITICO CON METODOS CUALITATIVOS","C",1-06-10
"49","01","01-000-0257","Derecho","DV","V","ACTIVO","IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL","IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL","C",1-06-10
"50","01","01-000-0257","Derecho","DV","V","ACTIVO","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL. APORTES TEORICOS","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL. APORTES TEORICOS","C",1-06-10
"51","01","01-000-0257","Derecho","DV","V","ACTIVO","ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO","ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO","C",1-06-10
"52","01","01-000-0257","Derecho","DV","V","ACTIVO","ESTADO PARTIDOS Y SOCIEDAD CIVIL. APORTES TEORICOS","ESTADO PARTIDOS Y SOCIEDAD CIVIL. APORTES TEORICOS","C",1-06-10
"53","01","01-000-0257","Derecho","DV","V","ACTIVO","SISTEMA POLITICO MEXICANO; DIVISION O CONCENTRACION DE PODERES","SISTEMA POLITICO MEXICANO; DIVISION O CONCENTRACION DE PODERES","C",1-06-11
"54","01","01-000-0257","Derecho","DV","V","ACTIVO","LENGUA EXTRANJERA I","INGLES I","C",1-06-11
"55","01","01-000-0257","Derecho","DV","V","ACTIVO","SEMINARIO TEMATICO","ECONOMIA POLITICA Y EVALUACION DE POLITICAS","C",1-06-11
"56","01","01-000-0257","Derecho","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION I","SEMINARIO DE INVESTIGACION I","NC",1-06-11
"57","01","01-000-0257","Derecho","DV","V","ACTIVO","LOS GRANDES PROBLEMAS DE LA ADMINISTRACION EN LAS CIUDADES. EXPERIENCIAS COMPARADAS","LOS GRANDES PROBLEMAS DE LA ADMINISTRACION EN LAS CIUDADES. EXPERIENCIAS COMPARADAS","C",1-06-11
"58","01","01-000-0257","Derecho","DV","V","ACTIVO","FORMAS DE GOBIERNO Y SISTEMAS ELECTORALES EN AMERICA LATINA","FORMAS DE GOBIERNO Y SISTEMAS ELECTORALES EN AMERICA LATINA","C",1-06-11
"59","01","01-000-0257","Derecho","DV","V","ACTIVO","LENGUA EXTRANJERA II","INGLES II","C",1-06-11
"60","01","01-000-0257","Derecho","SLT","V","ACTIVO","SEMINARIO DE INVESTIGACION II","SEMINARIO DE INVESTIGACION II","NC",1-06-11
"61","01","01-000-0257","Derecho","DV","V","ACTIVO","ADMINISTRACION DE LA CIUDAD DE MEXICO","ADMINISTRACION DE LA CIUDAD DE MEXICO","C",1-06-11
"62","01","01-000-0257","Derecho","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION I","SEMINARIO DE INVESTIGACION I","NC",1-06-12
"63","01","01-000-0257","Derecho","DV","V","ACTIVO","NIVELES DE GOBIERNO","NIVELES DE GOBIERNO","NC",1-06-12
"64","01","01-000-0257","Derecho","CH","V","ACTIVO","DERECHO LABORAL","DERECHO LABORAL","NC",1-06-14
"65","01","01-000-0257","Derecho","SLT","V","ACTIVO","SEMINARIO DE INVESTIGACION I","SEMINARIO DE INVESTIGACION I","NC",1-06-14
"66","01","01-000-0257","Derecho","CH","V","ACTIVO","DERECHO DE AMPARO","DERECHO DE AMPARO","NC",1-06-14
"67","01","01-000-0257","Derecho","DV","V","ACTIVO","LENGUA EXTRANJERA III","INGLES III","C",1-09-11
"68","01","01-000-0257","Derecho","DV","V","ACTIVO","DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS CONTEMPORANEAS","DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS CONTEMPORANEAS","C",1-09-11
"69","01","01-000-0257","Derecho","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION I","SEMINARIO DE INVESTIGACION I","NC",1-09-11
"70","02","02-001-0064","Derecho","CH","V","ACTIVO","ESCRITURA CREATIVA I","ESCRITURA CREATIVA I","C",1-08-03
"71","02","02-001-0064","Derecho","CH","V","ACTIVO","PROCESOS SOCIOHISTORICOS I","PROCESOS SOCIOHISTORICOS I","C",1-08-03
"72","02","02-001-0064","Derecho","CH","V","ACTIVO","TEORIA POLITICA I","TEORIA POLITICA I","NC",1-08-03
"73","02","02-001-0064","Derecho","CH","V","ACTIVO","MODERNIDAD Y PROCESOS DEL CONOCIMIENTO III","MODERNIDAD Y PROCESOS DEL CONOCIMIENTO III","NC",1-08-04
"74","02","02-001-0064","Derecho","CH","V","ACTIVO","TEORIA POLITICA III","TEORIA POLITICA III","NC",1-08-04
"75","02","02-001-0064","Derecho","CH","V","ACTIVO","ESCRITURA CREATIVA III","ESCRITURA CREATIVA III","NC",1-08-04
"76","02","02-001-0064","Derecho","GAM","V","ACTIVO","LENGUAJE Y PENSAMIENTO II","LENGUAJE Y PENSAMIENTO II","C",1-12-15
"77","02","02-001-0064","Derecho","GAM","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA I","CULTURA CIENTIFICA Y HUMANISTICA I","C",1-12-15
"78","02","02-001-0064","Derecho","GAM","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA II","CULTURA CIENTIFICA Y HUMANISTICA II","C",1-12-15
"79","02","02-001-0064","Derecho","GAM","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS II","ESTUDIOS SOCIALES E HISTORICOS II","C",1-12-15
"80","02","02-001-0064","Derecho","GAM","V","ACTIVO","ARGUMENTACION JURIDICA","ARGUMENTACION JURIDICA","C",1-12-16
"81","02","02-001-0064","Derecho","GAM","V","ACTIVO","HISTORIA DEL DERECHO","HISTORIA DEL DERECHO","C",1-12-16
"82","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO INDIGENA","DERECHO INDIGENA","C",1-12-16
"83","02","02-001-0064","Derecho","GAM","V","ACTIVO","LEGALIDAD SOCIAL DEL DERECHO","LEGALIDAD SOCIAL DEL DERECHO","C",1-12-16
"84","02","02-001-0064","Derecho","GAM","V","ACTIVO","TEORIA DEL ESTADO","TEORIA DEL ESTADO","C",1-12-16
"85","02","02-001-0064","Derecho","GAM","V","ACTIVO","ANTROPOLOGIA JURIDICA","ANTROPOLOGIA JURIDICA","NC",1-12-16
"86","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO ADMINISTRATIVO","DERECHO ADMINISTRATIVO","C",1-12-17
"87","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO AGRARIO","DERECHO AGRARIO","C",1-12-17
"88","02","02-001-0064","Derecho","GAM","V","ACTIVO","TEORIA GENERAL DEL PROCESO","TEORIA GENERAL DEL PROCESO","C",1-12-17
"89","02","02-001-0064","Derecho","GAM","V","ACTIVO","CLINICA PROCESAL","CLINICA PROCESAL","C",1-12-17
"90","02","02-001-0064","Derecho","GAM","V","ACTIVO","DELITOS EN PARTICULAR","DELITOS EN PARTICULAR","NC",1-12-17
"91","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO DE AMPARO","DERECHO DE AMPARO","C",1-12-17
"92","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","DERECHO INTERNACIONAL PUBLICO","C",1-12-17
"93","02","02-001-0064","Derecho","GAM","V","ACTIVO","REGIMEN DE COMERCIO EXTERIOR","REGIMEN DE COMERCIO EXTERIOR","C",1-12-17
"94","02","02-001-0064","Derecho","GAM","V","ACTIVO","ANTROPOLOGIA JURIDICA","ANTROPOLOGIA JURIDICA","C",1-12-17
"95","02","02-001-0064","Derecho","CH","V","ACTIVO","TEORIA Y SOCIOLOGIA DEL CONOCIMIENTO","TEORIA Y SOCIOLOGIA DEL CONOCIMIENTO","NC",1-02-04
"96","02","02-001-0064","Derecho","CH","V","ACTIVO","LENGUA EXTRANJERA I","INGLES I","NC",1-02-04
"97","02","02-001-0064","Derecho","CH","V","ACTIVO","TEORIA POLITICA MODERNA","TEORIA POLITICA MODERNA","NC",1-02-04
"98","02","02-001-0064","Derecho","CH","V","ACTIVO","TALLER DE ANALISIS POLITICO I","TALLER DE ANALISIS POLITICO I","NC",1-02-04
"99","02","02-001-0064","Derecho","CH","V","ACTIVO","ESCRITURA CREATIVA II","ESCRITURA CREATIVA II","NC",1-02-04
"100","02","02-001-0064","Derecho","CH","V","ACTIVO","PROCESOS SOCIOHISTORICOS II","PROCESOS SOCIOHISTORICOS II","NC",1-02-04
"101","02","02-001-0064","Derecho","GAM","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS III","ESTUDIOS SOCIALES E HISTORICOS III","C",1-06-16
"102","02","02-001-0064","Derecho","GAM","V","ACTIVO","LENGUAJE Y PENSAMIENTO III","LENGUAJE Y PENSAMIENTO III","C",1-06-16
"103","02","02-001-0064","Derecho","GAM","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA III","CULTURA CIENTIFICA Y HUMANISTICA III","C",1-06-16
"104","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHOS HUMANOS","DERECHOS HUMANOS","C",1-06-16
"105","02","02-001-0064","Derecho","GAM","V","ACTIVO","ELEMENTOS BASICOS DEL DERECHO","ELEMENTOS BASICOS DEL DERECHO","C",1-06-16
"106","02","02-001-0064","Derecho","GAM","V","ACTIVO","FUNDAMENTOS CONSTITUCIONALES DEL ESTADO MEXICANO","FUNDAMENTOS CONSTITUCIONALES DEL ESTADO MEXICANO","C",1-06-16
"107","02","02-001-0064","Derecho","GAM","V","ACTIVO","SOCIOLOGIA JURIDICA","SOCIOLOGIA JURIDICA","C",1-06-17
"108","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO CONSTITUCIONAL","DERECHO CONSTITUCIONAL","NC",1-06-17
"109","02","02-001-0064","Derecho","GAM","V","ACTIVO","TEORIA DE LA NORMA PENAL","TEORIA DE LA NORMA PENAL","C",1-06-17
"110","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO FISCAL","DERECHO FISCAL","C",1-06-17
"111","02","02-001-0064","Derecho","GAM","V","ACTIVO","FILOSOFIA DEL DERECHO","FILOSOFIA DEL DERECHO","NC",1-06-17
"112","02","02-001-0064","Derecho","GAM","V","ACTIVO","REGIMEN JURIDICO DEL DISTRITO FEDERAL","REGIMEN JURIDICO DEL DISTRITO FEDERAL","NC",1-06-17
"113","02","02-001-0064","Derecho","GAM","V","ACTIVO","FILOSOFIA DEL DERECHO","FILOSOFIA DEL DERECHO","NC",1-06-18
"114","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO CONSTITUCIONAL","DERECHO CONSTITUCIONAL","C",1-06-18
"115","02","02-001-0064","Derecho","GAM","V","ACTIVO","OBLIGACIONES","OBLIGACIONES","C",1-06-18
"116","02","02-001-0064","Derecho","GAM","V","ACTIVO","PROCESOS EN PARTICULAR","PROCESOS EN PARTICULAR","C",1-06-18
"117","02","02-001-0064","Derecho","GAM","V","ACTIVO","PERSONA Y FAMILIA","PERSONA Y FAMILIA","NC",1-06-18
"118","02","02-001-0064","Derecho","GAM","V","ACTIVO","REGIMEN JURIDICO DEL DISTRITO FEDERAL","REGIMEN JURIDICO DEL DISTRITO FEDERAL","C",1-06-18
"119","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO LABORAL","DERECHO LABORAL","NC",1-06-18
"120","02","02-001-0064","Derecho","GAM","V","ACTIVO","ANTROPOLOGIA JURIDICA","ANTROPOLOGIA JURIDICA","NC",1-03-17
"121","02","02-001-0064","Derecho","GAM","V","ACTIVO","DELITOS EN PARTICULAR","DELITOS EN PARTICULAR","C",1-03-18
"122","02","02-001-0064","Derecho","GAM","V","ACTIVO","BIENES Y SUCESIONES","BIENES Y SUCESIONES","C",1-03-18
"123","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO MERCANTIL","DERECHO MERCANTIL","C",1-12-18
"124","02","02-001-0064","Derecho","GAM","V","ACTIVO","SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS","SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS","C",1-12-18
"125","02","02-001-0064","Derecho","GAM","V","ACTIVO","CONTRATOS","CONTRATOS","C",1-12-18
"126","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS","DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS","C",1-12-18
"127","02","02-001-0064","Derecho","GAM","V","ACTIVO","PERSONA Y FAMILIA","PERSONA Y FAMILIA","C",1-12-18
"128","02","02-001-0064","Derecho","GAM","V","ACTIVO","METODOS Y TECNICAS DE INVESTIGACION","METODOS Y TECNICAS DE INVESTIGACION","C",1-12-18
"129","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO LABORAL","DERECHO LABORAL","C",1-06-19
"130","02","02-001-0064","Derecho","GAM","V","ACTIVO","DELIMITACIONES DEL OBJETO DE INVESTIGACION JURIDICA","DELIMITACIONES DEL OBJETO DE INVESTIGACION JURIDICA","C",1-06-19
"131","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO INTERNACIONAL PRIVADO","DERECHO INTERNACIONAL PRIVADO","C",1-06-19
"132","02","02-001-0064","Derecho","GAM","V","ACTIVO","DERECHO AMBIENTAL","DERECHO AMBIENTAL","C",1-06-19
"133","02","02-001-0064","Derecho","GAM","V","ACTIVO","FILOSOFIA DEL DERECHO","FILOSOFIA DEL DERECHO","C",1-06-19
"134","02","02-001-0064","Derecho","IZT","V","ACTIVO","LENGUA EXTRANJERA II","LECTURA DE TEXTOS EN INGLES II","NC",1-12-19
"135","02","02-001-0064","Derecho","GAM","V","ACTIVO","SEMINARIO DE TESIS","SEMINARIO DE TESIS","NC",1-12-19
"136","02","02-001-0064","Derecho","IZT","V","ACTIVO","LENGUA EXTRANJERA III","LECTURA DE TEXTOS EN INGLES III","NC",1-12-19
"137","02","02-001-0064","Derecho","GAM","V","ACTIVO","TEORIA GENERAL DE LOS DERECHOS HUMANOS","TEORIA GENERAL DE LOS DERECHOS HUMANOS","C",1-12-19
"138","02","02-001-0064","Derecho","IZT","V","ACTIVO","LENGUA EXTRANJERA I","LECTURA DE TEXTOS EN INGLES I","C",1-12-19
"139","02","02-001-0200","Derecho","DV","V","ACTIVO","PROCESOS SOCIOHISTORICOS I","PROCESOS SOCIOHISTORICOS I","NC",1-08-03
"140","02","02-001-0200","Derecho","DV","V","ACTIVO","LENGUA EXTRANJERA I","INGLES I","NC",1-08-03
"141","02","02-001-0200","Derecho","DV","V","ACTIVO","PENSAMIENTO CRITICO Y ARGUMENTACION","PENSAMIENTO CRITICO Y ARGUMENTACION","C",1-08-03
"142","02","02-001-0200","Derecho","DV","V","ACTIVO","ESCRITURA CREATIVA I","ESCRITURA CREATIVA I","C",1-08-03
"143","02","02-001-0200","Derecho","DV","V","ACTIVO","TALLER DE ANALISIS POLITICO I","TALLER DE ANALISIS POLITICO I","C",1-08-03
"144","02","02-001-0200","Derecho","DV","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA III","CULTURA CIENTIFICA Y HUMANISTICA III","C",1-08-03
"145","02","02-001-0200","Derecho","DV","V","ACTIVO","TEORIA POLITICA III","TEORIA POLITICA III","C",1-08-04
"146","02","02-001-0200","Derecho","DV","V","ACTIVO","PROBLEMAS CONTEMPORANEOS DE ETICA","PROBLEMAS CONTEMPORANEOS DE ETICA","C",1-08-04
"147","02","02-001-0200","Derecho","DV","V","ACTIVO","PROCESOS SOCIOHISTORICOS III","PROCESOS SOCIOHISTORICOS III","C",1-08-04
"148","02","02-001-0200","Derecho","DV","V","ACTIVO","ANALISIS POLITICO (MODELO DE ANALISIS INSTITUCIONAL)","ANALISIS POLITICO (MODELO DE ANALISIS INSTITUCIONAL)","NC",1-08-04
"149","02","02-001-0200","Derecho","DV","V","ACTIVO","ESCRITURA CREATIVA III","ESCRITURA CREATIVA III","C",1-08-04
"150","02","02-001-0200","Derecho","DV","V","ACTIVO","ANALISIS POLITICO CON METODOS CUALITATIVOS","ANALISIS POLITICO CON METODOS CUALITATIVOS","C",1-08-05
"151","02","02-001-0200","Derecho","DV","V","ACTIVO","ORGANIZACION Y AGENTES SOCIALES","ORGANIZACION Y AGENTES SOCIALES","C",1-08-05
"152","02","02-001-0200","Derecho","DV","V","ACTIVO","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL","NC",1-08-05
"153","02","02-001-0200","Derecho","DV","V","ACTIVO","ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO (SIGLO XX)","ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO (SIGLO XX)","C",1-08-05
"154","02","02-001-0200","Derecho","DV","V","ACTIVO","IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL","IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL","NC",1-08-05
"155","02","02-001-0200","Derecho","DV","V","ACTIVO","SISTEMA POLITICO MEXICANO; DIVISION O CONCENTRACION DE PODERES","SISTEMA POLITICO MEXICANO; DIVISION O CONCENTRACION DE PODERES","C",1-08-06
"156","02","02-001-0200","Derecho","DV","V","ACTIVO","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL","C",1-08-06
"157","02","02-001-0200","Derecho","DV","V","ACTIVO","ESTADO PARTIDOS Y SOCIEDAD CIVIL. APORTES TEORICOS","ESTADO PARTIDOS Y SOCIEDAD CIVIL. APORTES TEORICOS","C",1-08-06
"158","02","02-001-0200","Derecho","DV","V","ACTIVO","ADMINISTRACION DE LA CIUDAD DE MEXICO","ADMINISTRACION DE LA CIUDAD DE MEXICO","C",1-08-06
"159","02","02-001-0200","Derecho","DV","V","ACTIVO","PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO","PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO","C",1-08-06
"160","02","02-001-0200","Derecho","DV","V","ACTIVO","ACTORES SOCIALES Y PARTICIPACION EN LA CIUDAD DE MEXICO","ACTORES SOCIALES Y PARTICIPACION EN LA CIUDAD DE MEXICO","C",1-08-06
"161","02","02-001-0200","Derecho","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION I","SEMINARIO DE INVESTIGACION I","C",1-08-06
"162","02","02-001-0200","Derecho","DV","V","ACTIVO","IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL","IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL","NC",1-08-06
"163","02","02-001-0200","Derecho","DV","V","ACTIVO","GOBIERNO Y PODER EN LOS CENTROS URBANOS. EXPERIENCIAS COMPARADAS","GOBIERNO Y PODER EN LOS CENTROS URBANOS. EXPERIENCIAS COMPARADAS","C",1-08-06
"164","02","02-001-0200","Derecho","DV","V","ACTIVO","NIVELES DE GOBIERNO","NIVELES DE GOBIERNO","C",1-08-06
"165","02","02-001-0200","Derecho","DV","V","ACTIVO","LOS GRANDES PROBLEMAS DE LA ADMINISTRACION EN LAS CIUDADES. EXPERIENCIAS COMPARADAS","LOS GRANDES PROBLEMAS DE LA ADMINISTRACION EN LAS CIUDADES. EXPERIENCIAS COMPARADAS","C",1-08-06
"166","02","02-001-0200","Derecho","GAM","V","ACTIVO","DERECHO ADMINISTRATIVO","DERECHO ADMINISTRATIVO","C",1-12-16
