"","Matricula","Plantel","Turno","Estatus","Materias","Cal","Anho","PeriodoCert","Gen","Lic","Periodo"
"67","01-000-0257","DV","V","ACTIVO","INGLES III","C","11","Segundo","01","Derecho",1-09-11
"68","01-000-0257","DV","V","ACTIVO","DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS CONTEMPORANEAS","C","11","Segundo","01","Derecho",1-09-11
"69","01-000-0257","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION I","NC","11","Segundo","01","Derecho",1-09-11
"70","02-001-0064","CH","V","ACTIVO","ESCRITURA CREATIVA I","C","03","Segundo","02","Derecho",1-08-03
"71","02-001-0064","CH","V","ACTIVO","PROCESOS SOCIOHISTORICOS I","C","03","Segundo","02","Derecho",1-08-03
"72","02-001-0064","CH","V","ACTIVO","TEORIA POLITICA I","NC","03","Segundo","02","Derecho",1-08-03
"73","02-001-0064","CH","V","ACTIVO","MODERNIDAD Y PROCESOS DEL CONOCIMIENTO III","NC","04","Segundo","02","Derecho",1-08-04
"74","02-001-0064","CH","V","ACTIVO","TEORIA POLITICA III","NC","04","Segundo","02","Derecho",1-08-04
"75","02-001-0064","CH","V","ACTIVO","ESCRITURA CREATIVA III","NC","04","Segundo","02","Derecho",1-08-04
"76","02-001-0064","GAM","V","ACTIVO","LENGUAJE Y PENSAMIENTO II","C","15","Segundo","02","Derecho",1-12-15
"77","02-001-0064","GAM","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA I","C","15","Segundo","02","Derecho",1-12-15
"78","02-001-0064","GAM","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA II","C","15","Segundo","02","Derecho",1-12-15
"79","02-001-0064","GAM","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS II","C","15","Segundo","02","Derecho",1-12-15
"80","02-001-0064","GAM","V","ACTIVO","ARGUMENTACION JURIDICA","C","16","Segundo","02","Derecho",1-12-16
"81","02-001-0064","GAM","V","ACTIVO","HISTORIA DEL DERECHO","C","16","Segundo","02","Derecho",1-12-16
"82","02-001-0064","GAM","V","ACTIVO","DERECHO INDIGENA","C","16","Segundo","02","Derecho",1-12-16
"83","02-001-0064","GAM","V","ACTIVO","LEGALIDAD SOCIAL DEL DERECHO","C","16","Segundo","02","Derecho",1-12-16
"84","02-001-0064","GAM","V","ACTIVO","TEORIA DEL ESTADO","C","16","Segundo","02","Derecho",1-12-16
"85","02-001-0064","GAM","V","ACTIVO","ANTROPOLOGIA JURIDICA","NC","16","Segundo","02","Derecho",1-12-16
"86","02-001-0064","GAM","V","ACTIVO","DERECHO ADMINISTRATIVO","C","17","Segundo","02","Derecho",1-12-17
"87","02-001-0064","GAM","V","ACTIVO","DERECHO AGRARIO","C","17","Segundo","02","Derecho",1-12-17
"88","02-001-0064","GAM","V","ACTIVO","TEORIA GENERAL DEL PROCESO","C","17","Segundo","02","Derecho",1-12-17
"89","02-001-0064","GAM","V","ACTIVO","CLINICA PROCESAL","C","17","Segundo","02","Derecho",1-12-17
"90","02-001-0064","GAM","V","ACTIVO","DELITOS EN PARTICULAR","NC","17","Segundo","02","Derecho",1-12-17
"91","02-001-0064","GAM","V","ACTIVO","DERECHO DE AMPARO","C","17","Segundo","02","Derecho",1-12-17
"92","02-001-0064","GAM","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","C","17","Segundo","02","Derecho",1-12-17
"93","02-001-0064","GAM","V","ACTIVO","REGIMEN DE COMERCIO EXTERIOR","C","17","Segundo","02","Derecho",1-12-17
"94","02-001-0064","GAM","V","ACTIVO","ANTROPOLOGIA JURIDICA","C","17","Segundo","02","Derecho",1-12-17
"95","02-001-0064","CH","V","ACTIVO","TEORIA Y SOCIOLOGIA DEL CONOCIMIENTO","NC","04","Primer","02","Derecho",1-02-04
"96","02-001-0064","CH","V","ACTIVO","INGLES I","NC","04","Primer","02","Derecho",1-02-04
"97","02-001-0064","CH","V","ACTIVO","TEORIA POLITICA MODERNA","NC","04","Primer","02","Derecho",1-02-04
"98","02-001-0064","CH","V","ACTIVO","TALLER DE ANALISIS POLITICO I","NC","04","Primer","02","Derecho",1-02-04
"99","02-001-0064","CH","V","ACTIVO","ESCRITURA CREATIVA II","NC","04","Primer","02","Derecho",1-02-04
"100","02-001-0064","CH","V","ACTIVO","PROCESOS SOCIOHISTORICOS II","NC","04","Primer","02","Derecho",1-02-04
"101","02-001-0064","GAM","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS III","C","16","Primer","02","Derecho",1-06-16
"102","02-001-0064","GAM","V","ACTIVO","LENGUAJE Y PENSAMIENTO III","C","16","Primer","02","Derecho",1-06-16
"103","02-001-0064","GAM","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA III","C","16","Primer","02","Derecho",1-06-16
"104","02-001-0064","GAM","V","ACTIVO","DERECHOS HUMANOS","C","16","Primer","02","Derecho",1-06-16
"105","02-001-0064","GAM","V","ACTIVO","ELEMENTOS BASICOS DEL DERECHO","C","16","Primer","02","Derecho",1-06-16
"106","02-001-0064","GAM","V","ACTIVO","FUNDAMENTOS CONSTITUCIONALES DEL ESTADO MEXICANO","C","16","Primer","02","Derecho",1-06-16
"107","02-001-0064","GAM","V","ACTIVO","SOCIOLOGIA JURIDICA","C","17","Primer","02","Derecho",1-06-17
"108","02-001-0064","GAM","V","ACTIVO","DERECHO CONSTITUCIONAL","NC","17","Primer","02","Derecho",1-06-17
"109","02-001-0064","GAM","V","ACTIVO","TEORIA DE LA NORMA PENAL","C","17","Primer","02","Derecho",1-06-17
"110","02-001-0064","GAM","V","ACTIVO","DERECHO FISCAL","C","17","Primer","02","Derecho",1-06-17
"111","02-001-0064","GAM","V","ACTIVO","FILOSOFIA DEL DERECHO","NC","17","Primer","02","Derecho",1-06-17
"112","02-001-0064","GAM","V","ACTIVO","REGIMEN JURIDICO DEL DISTRITO FEDERAL","NC","17","Primer","02","Derecho",1-06-17
"113","02-001-0064","GAM","V","ACTIVO","FILOSOFIA DEL DERECHO","NC","18","Primer","02","Derecho",1-06-18
"114","02-001-0064","GAM","V","ACTIVO","DERECHO CONSTITUCIONAL","C","18","Primer","02","Derecho",1-06-18
"115","02-001-0064","GAM","V","ACTIVO","OBLIGACIONES","C","18","Primer","02","Derecho",1-06-18
"116","02-001-0064","GAM","V","ACTIVO","PROCESOS EN PARTICULAR","C","18","Primer","02","Derecho",1-06-18
"117","02-001-0064","GAM","V","ACTIVO","PERSONA Y FAMILIA","NC","18","Primer","02","Derecho",1-06-18
"118","02-001-0064","GAM","V","ACTIVO","REGIMEN JURIDICO DEL DISTRITO FEDERAL","C","18","Primer","02","Derecho",1-06-18
"119","02-001-0064","GAM","V","ACTIVO","DERECHO LABORAL","NC","18","Primer","02","Derecho",1-06-18
"120","02-001-0064","GAM","V","ACTIVO","ANTROPOLOGIA JURIDICA","NC","17","Primer","02","Derecho",1-03-17
"121","02-001-0064","GAM","V","ACTIVO","DELITOS EN PARTICULAR","C","18","Primer","02","Derecho",1-03-18
"122","02-001-0064","GAM","V","ACTIVO","BIENES Y SUCESIONES","C","18","Primer","02","Derecho",1-03-18
"123","02-001-0064","GAM","V","ACTIVO","DERECHO MERCANTIL","C","18","Segundo","02","Derecho",1-12-18
"124","02-001-0064","GAM","V","ACTIVO","SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS","C","18","Segundo","02","Derecho",1-12-18
"125","02-001-0064","GAM","V","ACTIVO","CONTRATOS","C","18","Segundo","02","Derecho",1-12-18
"126","02-001-0064","GAM","V","ACTIVO","DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS","C","18","Segundo","02","Derecho",1-12-18
"127","02-001-0064","GAM","V","ACTIVO","PERSONA Y FAMILIA","C","18","Segundo","02","Derecho",1-12-18
"128","02-001-0064","GAM","V","ACTIVO","METODOS Y TECNICAS DE INVESTIGACION","C","18","Segundo","02","Derecho",1-12-18
"129","02-001-0064","GAM","V","ACTIVO","DERECHO LABORAL","C","19","Primer","02","Derecho",1-06-19
"130","02-001-0064","GAM","V","ACTIVO","DELIMITACIONES DEL OBJETO DE INVESTIGACION JURIDICA","C","19","Primer","02","Derecho",1-06-19
"131","02-001-0064","GAM","V","ACTIVO","DERECHO INTERNACIONAL PRIVADO","C","19","Primer","02","Derecho",1-06-19
"132","02-001-0064","GAM","V","ACTIVO","DERECHO AMBIENTAL","C","19","Primer","02","Derecho",1-06-19
"133","02-001-0064","GAM","V","ACTIVO","FILOSOFIA DEL DERECHO","C","19","Primer","02","Derecho",1-06-19
"134","02-001-0064","IZT","V","ACTIVO","LECTURA DE TEXTOS EN INGLES II","NC","19","Segundo","02","Derecho",1-12-19
"135","02-001-0064","GAM","V","ACTIVO","SEMINARIO DE TESIS","NC","19","Segundo","02","Derecho",1-12-19
"136","02-001-0064","IZT","V","ACTIVO","LECTURA DE TEXTOS EN INGLES III","NC","19","Segundo","02","Derecho",1-12-19
"137","02-001-0064","GAM","V","ACTIVO","TEORIA GENERAL DE LOS DERECHOS HUMANOS","C","19","Segundo","02","Derecho",1-12-19
"138","02-001-0064","IZT","V","ACTIVO","LECTURA DE TEXTOS EN INGLES I","C","19","Segundo","02","Derecho",1-12-19
"139","02-001-0200","DV","V","ACTIVO","PROCESOS SOCIOHISTORICOS I","NC","03","Segundo","02","Derecho",1-08-03
"140","02-001-0200","DV","V","ACTIVO","INGLES I","NC","03","Segundo","02","Derecho",1-08-03
"141","02-001-0200","DV","V","ACTIVO","PENSAMIENTO CRITICO Y ARGUMENTACION","C","03","Segundo","02","Derecho",1-08-03
"142","02-001-0200","DV","V","ACTIVO","ESCRITURA CREATIVA I","C","03","Segundo","02","Derecho",1-08-03
"143","02-001-0200","DV","V","ACTIVO","TALLER DE ANALISIS POLITICO I","C","03","Segundo","02","Derecho",1-08-03
"144","02-001-0200","DV","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA III","C","03","Segundo","02","Derecho",1-08-03
"145","02-001-0200","DV","V","ACTIVO","TEORIA POLITICA III","C","04","Segundo","02","Derecho",1-08-04
"146","02-001-0200","DV","V","ACTIVO","PROBLEMAS CONTEMPORANEOS DE ETICA","C","04","Segundo","02","Derecho",1-08-04
"147","02-001-0200","DV","V","ACTIVO","PROCESOS SOCIOHISTORICOS III","C","04","Segundo","02","Derecho",1-08-04
"148","02-001-0200","DV","V","ACTIVO","ANALISIS POLITICO (MODELO DE ANALISIS INSTITUCIONAL)","NC","04","Segundo","02","Derecho",1-08-04
"149","02-001-0200","DV","V","ACTIVO","ESCRITURA CREATIVA III","C","04","Segundo","02","Derecho",1-08-04
"150","02-001-0200","DV","V","ACTIVO","ANALISIS POLITICO CON METODOS CUALITATIVOS","C","05","Segundo","02","Derecho",1-08-05
"151","02-001-0200","DV","V","ACTIVO","ORGANIZACION Y AGENTES SOCIALES","C","05","Segundo","02","Derecho",1-08-05
"152","02-001-0200","DV","V","ACTIVO","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL","NC","05","Segundo","02","Derecho",1-08-05
"153","02-001-0200","DV","V","ACTIVO","ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO (SIGLO XX)","C","05","Segundo","02","Derecho",1-08-05
"154","02-001-0200","DV","V","ACTIVO","IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL","NC","05","Segundo","02","Derecho",1-08-05
"155","02-001-0200","DV","V","ACTIVO","SISTEMA POLITICO MEXICANO; DIVISION O CONCENTRACION DE PODERES","C","06","Segundo","02","Derecho",1-08-06
"156","02-001-0200","DV","V","ACTIVO","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL","C","06","Segundo","02","Derecho",1-08-06
"157","02-001-0200","DV","V","ACTIVO","ESTADO PARTIDOS Y SOCIEDAD CIVIL. APORTES TEORICOS","C","06","Segundo","02","Derecho",1-08-06
"158","02-001-0200","DV","V","ACTIVO","ADMINISTRACION DE LA CIUDAD DE MEXICO","C","06","Segundo","02","Derecho",1-08-06
"159","02-001-0200","DV","V","ACTIVO","PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO","C","06","Segundo","02","Derecho",1-08-06
"160","02-001-0200","DV","V","ACTIVO","ACTORES SOCIALES Y PARTICIPACION EN LA CIUDAD DE MEXICO","C","06","Segundo","02","Derecho",1-08-06
"161","02-001-0200","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION I","C","06","Segundo","02","Derecho",1-08-06
"162","02-001-0200","DV","V","ACTIVO","IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL","NC","06","Segundo","02","Derecho",1-08-06
"163","02-001-0200","DV","V","ACTIVO","GOBIERNO Y PODER EN LOS CENTROS URBANOS. EXPERIENCIAS COMPARADAS","C","06","Segundo","02","Derecho",1-08-06
"164","02-001-0200","DV","V","ACTIVO","NIVELES DE GOBIERNO","C","06","Segundo","02","Derecho",1-08-06
"165","02-001-0200","DV","V","ACTIVO","LOS GRANDES PROBLEMAS DE LA ADMINISTRACION EN LAS CIUDADES. EXPERIENCIAS COMPARADAS","C","06","Segundo","02","Derecho",1-08-06
"166","02-001-0200","GAM","V","ACTIVO","DERECHO ADMINISTRATIVO","C","16","Segundo","02","Derecho",1-12-16
"167","02-001-0200","GAM","V","ACTIVO","LEGALIDAD SOCIAL DEL DERECHO","C","16","Segundo","02","Derecho",1-12-16
"168","02-001-0200","CH","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","C","16","Segundo","02","Derecho",1-12-16
"169","02-001-0200","CH","V","ACTIVO","DERECHO AGRARIO","C","16","Segundo","02","Derecho",1-12-16
"170","02-001-0200","GAM","V","ACTIVO","CLINICA PROCESAL","C","16","Segundo","02","Derecho",1-12-16
"171","02-001-0200","GAM","V","ACTIVO","BIENES Y SUCESIONES","C","16","Segundo","02","Derecho",1-12-16
"172","02-001-0200","GAM","V","ACTIVO","HISTORIA DEL DERECHO","NC","16","Segundo","02","Derecho",1-12-16
"173","02-001-0200","GAM","V","ACTIVO","DERECHO INDIGENA","C","16","Segundo","02","Derecho",1-12-16
"174","02-001-0200","CH","V","ACTIVO","ANTROPOLOGIA JURIDICA","C","16","Segundo","02","Derecho",1-12-16
"175","02-001-0200","GAM","V","ACTIVO","CONTRATOS","C","17","Segundo","02","Derecho",1-12-17
"176","02-001-0200","GAM","V","ACTIVO","DERECHO DE AMPARO","C","17","Segundo","02","Derecho",1-12-17
"177","02-001-0200","GAM","V","ACTIVO","DERECHO MERCANTIL","C","17","Segundo","02","Derecho",1-12-17
"178","02-001-0200","CH","V","ACTIVO","TEORIA DEL ESTADO","NC","17","Segundo","02","Derecho",1-12-17
"179","02-001-0200","GAM","V","ACTIVO","DELIMITACIONES DEL OBJETO DE INVESTIGACION JURIDICA","C","17","Segundo","02","Derecho",1-12-17
"180","02-001-0200","GAM","V","ACTIVO","REGIMEN DE COMERCIO EXTERIOR","C","17","Segundo","02","Derecho",1-12-17
"181","02-001-0200","GAM","V","ACTIVO","METODOS Y TECNICAS DE INVESTIGACION","C","17","Segundo","02","Derecho",1-12-17
"182","02-001-0200","GAM","V","ACTIVO","ARGUMENTACION JURIDICA","C","17","Segundo","02","Derecho",1-12-17
"183","02-001-0200","GAM","V","ACTIVO","HISTORIA DEL DERECHO","C","17","Segundo","02","Derecho",1-12-17
"184","02-001-0200","DV","V","ACTIVO","TEORIA POLITICA MODERNA","C","04","Primer","02","Derecho",1-02-04
"185","02-001-0200","DV","V","ACTIVO","TEORIA Y SOCIOLOGIA DEL CONOCIMIENTO","C","04","Primer","02","Derecho",1-02-04
"186","02-001-0200","DV","V","ACTIVO","COMPUTACION I","C","04","Primer","02","Derecho",1-02-04
"187","02-001-0200","DV","V","ACTIVO","INGLES I","NC","04","Primer","02","Derecho",1-02-04
"188","02-001-0200","DV","V","ACTIVO","PROCESOS SOCIOHISTORICOS II","C","04","Primer","02","Derecho",1-02-04
"189","02-001-0200","DV","V","ACTIVO","ESCRITURA CREATIVA II","C","04","Primer","02","Derecho",1-02-04
"190","02-001-0200","DV","V","ACTIVO","TALLER DE ANALISIS POLITICO II","C","04","Primer","02","Derecho",1-02-04
"191","02-001-0200","DV","V","ACTIVO","TEORIA DE LA ORGANIZACION EN EL CONTEXTO GLOBAL","C","05","Primer","02","Derecho",1-02-05
"192","02-001-0200","DV","V","ACTIVO","IMPACTO EN LA GLOBALIZACION EN LOS CENTROS URBANOS ANALISIS COMPARATIVOS","C","05","Primer","02","Derecho",1-02-05
"193","02-001-0200","DV","V","ACTIVO","MEXICO Y AMERICA LATINA EN EL CONTEXTO INTERNACIONAL DEL SIGLO XX","C","05","Primer","02","Derecho",1-02-05
"194","02-001-0200","DV","V","ACTIVO","POLITICA ECONOMICA Y DISTRIBUTIVA","C","05","Primer","02","Derecho",1-02-05
"195","02-001-0200","DV","V","ACTIVO","INTERNACIONALIZACION Y GLOBALIZACION. APORTES TEORICOS","C","05","Primer","02","Derecho",1-02-05
"196","02-001-0200","DV","V","ACTIVO","NOCIONES DE DERECHO CONSTITUCIONAL Y DERECHO ADMINISTRATIVO","C","05","Primer","02","Derecho",1-02-05
"197","02-001-0200","DV","V","ACTIVO","COMUNICACION POLITICA","NC","06","Primer","02","Derecho",1-02-06
"198","02-001-0200","DV","V","ACTIVO","DECISION POLITICA Y POLITICAS PUBLICAS","C","06","Primer","02","Derecho",1-02-06
"199","02-001-0200","DV","V","ACTIVO","CIUDADANIA PARTICIPACION Y REPRESENTACION. APORTES TEORICOS","C","07","Primer","02","Derecho",1-02-07
"200","02-001-0200","DV","V","ACTIVO","PLANEACION CON PARTICIPACION EN LA CIUDAD DE MEXICO","C","07","Primer","02","Derecho",1-02-07
"201","02-001-0200","DV","V","ACTIVO","INGLES II","NC","07","Primer","02","Derecho",1-02-07
"202","02-001-0200","DV","V","ACTIVO","ANALISIS DE POLITICAS PUBLICAS","C","07","Primer","02","Derecho",1-02-07
"203","02-001-0200","DV","V","ACTIVO","POLITICA DE VIVIENDA EN MEXICO","NC","07","Primer","02","Derecho",1-02-07
"204","02-001-0200","DV","V","ACTIVO","INGLES III","NC","07","Primer","02","Derecho",1-02-07
"205","02-001-0200","DV","V","ACTIVO","ANALISIS POLITICO CON METODOS CUANTITATIVOS","C","07","Primer","02","Derecho",1-02-07
"206","02-001-0200","DV","V","ACTIVO","FINANZAS PUBLICAS Y PRESUPUESTACION","C","07","Primer","02","Derecho",1-02-07
"207","02-001-0200","DV","V","ACTIVO","INGLES I","C","07","Primer","02","Derecho",1-02-07
"208","02-001-0200","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION II","C","07","Primer","02","Derecho",1-02-07
