"","Materia","ProbCert1a","MaxIntNuncaCert","MeanIntNuncaCert","ModeIntNuncaCert","ProbNuncaCert","MaxIntSiCert","MeanIntSiCert","ModeIntSiCert"
"18","ESTADO PARTIDOS Y SOCIEDAD CIVIL. APORTES TEORICOS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"19","ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO (SIGLO XX)","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"20","FINANZAS PUBLICAS Y PRESUPUESTACION","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"21","FORMAS DE GOBIERNO Y SISTEMAS ELECTORALES EN AMERICA LATINA","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"22","FRANCES III","0","2","2","2","1","-Inf","NaN",NA
"23","FUNDAMENTOS CONSTITUCIONALES DEL ESTADO MEXICANO","0.428571428571429","1","1","1","0.571428571428571","-Inf","NaN",NA
"24","GLOBALIZACION CONCENTRACION Y EL NUEVO ORDEN INTERNACIONAL","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"25","GOBIERNO Y PODER EN LOS CENTROS URBANOS. EXPERIENCIAS COMPARADAS","0.5","1","1","1","0.5","-Inf","NaN",NA
"26","HISTORIA DE LAS IDEAS POLITICAS","0.5","1","1","1","0.5","-Inf","NaN",NA
"27","INTERNACIONALIZACION Y GLOBALIZACION. APORTES TEORICOS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"28","LOS GRANDES PROBLEMAS DE LA ADMINISTRACION EN LAS CIUDADES. EXPERIENCIAS COMPARADAS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"29","MARCO JURIDICO DE LA ADMINISTRACION PUBLICA","0.666666666666667","1","1","1","0.333333333333333","-Inf","NaN",NA
"30","MEXICO Y AMERICA LATINA EN EL CONTEXTO INTERNACIONAL","0.666666666666667","1","1","1","0.333333333333333","-Inf","NaN",NA
"31","MEXICO Y AMERICA LATINA EN EL CONTEXTO INTERNACIONAL DEL SIGLO XX","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"32","NIVELES DE GOBIERNO","0.8","2","2","2","0.2","-Inf","NaN",NA
"33","NOCIONES DE DERECHO CONSTITUCIONAL Y DERECHO ADMINISTRATIVO","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"34","PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO SIGLO XX","0.5","1","1","1","0.5","-Inf","NaN",NA
"35","PENSAMIENTO CRITICO Y ARGUMENTACION","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"36","PERIODISMO ESCRITO: GENEROS INFORMATIVOS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"37","PLANEACION CON PARTICIPACION EN LA CIUDAD DE MEXICO","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"38","POLITICA DE VIVIENDA EN MEXICO","0.5","1","1","1","0.5","-Inf","NaN",NA
"39","PROBLEMAS CONTEMPORANEOS DE ETICA","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"40","PROBLEMAS JURIDICOS CONTEMPORANEOS","0.857142857142857","1","1","1","0.142857142857143","-Inf","NaN",NA
"41","PROCESOS SOCIOHISTORICOS II","0.5","1","1","1","0.5","-Inf","NaN",NA
"42","PROCESOS SOCIOHISTORICOS III","0.666666666666667","1","1","1","0.333333333333333","-Inf","NaN",NA
"43","SEMINARIO DE TESIS I: PROYECTO DE INVESTIGACION","0.5","1","1","1","0.5","-Inf","NaN",NA
"44","TALLER DE ANALISIS POLITICO I","0.5","3","2","2","0.5","-Inf","NaN",NA
"45","TALLER DE ANALISIS POLITICO II","0.5","1","1","1","0.5","-Inf","NaN",NA
"46","TEORIA DE LA ORGANIZACION EN EL CONTEXTO GLOBAL","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"47","TEORIA POLITICA II","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"48","TEORIA POLITICA MODERNA","0.75","1","1","1","0.25","-Inf","NaN",NA
"49","PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO","0.75","-Inf","NaN",NA,"0","4","4","4"
"50","TEORIA POLITICA III","0.666666666666667","1","1","1","0.166666666666667","4","4","4"
"51","SEMINARIO DE INVESTIGACION I","0.166666666666667","-Inf","NaN",NA,"0","6","3.6","2"
"52","CULTURA CIENTIFICA Y HUMANISTICA II","0.666666666666667","2","1.33333333333333","1","0.2","4","3.5","3.5"
"53","SEMINARIO DE INVESTIGACION II","0.5","-Inf","NaN",NA,"0","5","3.5","3.5"
"54","LENGUAJE Y PENSAMIENTO I","0.347826086956522","4","1.58333333333333","1","0.521739130434783","3","2.33333333333333","3"
"55","SISTEMA POLITICO MEXICANO; DIVISION O CONCENTRACION DE PODERES","0.666666666666667","1","1","1","0.166666666666667","2","2","2"
